"HCPCS Code","Modifier","Short Description","Mac Locality","Non-Facility Price","Facility Price","Non-Facility Limiting Charge","Facility Limiting Charge","GPCI Work","GPCI PE","GPCI MP","Proc Stat","Work RVU","NA Flag for Trans Non-FAC PE RVU","Transitioned Non-FAC PE RVU","NA Flag for Fully IMP Non-FAC PE RVU","Fully Implemented Non-FAC PE RVU","NA Flag for Trans facility PE RVU","Transitioned Facility PE RVU","NA Flag for Fully IMP FAC PE RVU","Fully Implemented Facility PE RVU","MP RVU","Transitioned Non-FAC Total","Transitioned Facility Total","Fully Implemented Non-Fac Total","Fully Implemented Facility Total","PCTC","Global","Pre Op","Intra Op","Post Op","Mult Surg","Bilt Surg","Asst Surg","Co Surg","Team Surg","Phys Supv","Endobase","Conv Fact","Not Used for Medicare","Diag Imaging Family Ind","Opps Non-Facility Payment Amount","Opps Facility Payment Amount","Non-Fac PE Used For Opps PMT AMT","Facility PE Used For Opps PMT AMT","Malpractice Used For Opps PMT AMT"
"95970","  ","Alys npgt w/o prgrmg","0111262","$19.58","$19.21","$21.39","$20.99","1.021","1.079","0.924","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111263","$19.52","$19.14","$21.32","$20.91","1.036","1.119","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111264","$19.86","$19.47","$21.69","$21.27","1.050","1.149","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111265","$21.92","$21.45","$23.95","$23.43","1.098","1.409","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111266","$19.97","$19.56","$21.81","$21.37","1.031","1.207","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111267","$20.01","$19.61","$21.87","$21.42","1.036","1.205","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111268","$19.11","$18.74","$20.88","$20.48","1.021","1.079","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111269","$19.11","$18.74","$20.88","$20.48","1.021","1.079","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111270","$19.11","$18.74","$20.88","$20.48","1.021","1.079","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111275","$19.11","$18.74","$20.88","$20.48","1.021","1.079","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
