"HCPCS Code","Modifier","Short Description","Mac Locality","Non-Facility Price","Facility Price","Non-Facility Limiting Charge","Facility Limiting Charge","GPCI Work","GPCI PE","GPCI MP","Proc Stat","Work RVU","NA Flag for Trans Non-FAC PE RVU","Transitioned Non-FAC PE RVU","NA Flag for Fully IMP Non-FAC PE RVU","Fully Implemented Non-FAC PE RVU","NA Flag for Trans facility PE RVU","Transitioned Facility PE RVU","NA Flag for Fully IMP FAC PE RVU","Fully Implemented Facility PE RVU","MP RVU","Transitioned Non-FAC Total","Transitioned Facility Total","Fully Implemented Non-Fac Total","Fully Implemented Facility Total","PCTC","Global","Pre Op","Intra Op","Post Op","Mult Surg","Bilt Surg","Asst Surg","Co Surg","Team Surg","Phys Supv","Endobase","Conv Fact","Not Used for Medicare","Diag Imaging Family Ind","Opps Non-Facility Payment Amount","Opps Facility Payment Amount","Non-Fac PE Used For Opps PMT AMT","Facility PE Used For Opps PMT AMT","Malpractice Used For Opps PMT AMT"
"95970","  ","Alys npgt w/o prgrmg","0000000","$18.11","$17.79","$19.79","$19.44","1.000","1.000","1.000","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111205","$21.01","$20.55","$22.95","$22.45","1.088","1.419","0.445","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111209","$21.22","$20.75","$23.18","$22.67","1.100","1.435","0.420","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111251","$20.11","$19.69","$21.97","$21.51","1.058","1.310","0.521","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111252","$21.04","$20.58","$22.98","$22.48","1.088","1.419","0.470","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111253","$20.06","$19.64","$21.92","$21.45","1.058","1.310","0.470","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111254","$18.52","$18.17","$20.23","$19.85","1.017","1.093","0.662","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111255","$18.39","$18.03","$20.09","$19.70","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111256","$18.39","$18.03","$20.09","$19.70","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111257","$18.39","$18.03","$20.09","$19.70","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111258","$18.39","$18.03","$20.09","$19.70","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111259","$18.39","$18.03","$20.09","$19.70","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.17","","0.17","0.03","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","32.3465","","99","NA","NA","0.00","0.00","0.00"
